code,type
988,23
988,60
988,61
988,50
989,58
989,76
990,50
991,59
991,2
992,70
992,71
992,49
993,31
993,74
993,65
994,31
994,70
994,5
994,20
994,82
995,70
995,69
996,22
996,70
996,71
997,17
997,70
999,6
999,23
999,60
1000,47
1000,28
1000,51
1000,43
1001,51
1001,3
1001,52
1002,5
1002,3
1003,47
1003,80
1003,45
1004,17
1004,64
1005,5
1005,60
1005,59
1005,2
1006,68
1007,11
1007,59
1008,74
1008,50
1009,31
1009,70
1009,5
1009,8
1009,33
1010,5
1011,70
1011,55
1012,60
1012,7
1012,28
1012,62
1013,47
1013,64
1013,60
1014,70
1014,14
1015,6
1015,44
1015,79
1016,6
1016,70
1016,28
1016,44
1016,59
1017,22
1017,71
1017,74
1017,60
1018,23
1019,5
1019,33
1020,70
1020,54
1020,73
1020,45
1021,70
1022,5
1022,66
1022,19
1022,50
1023,17
1023,70
1023,16
1023,83
1023,74
1024,68
1024,70
1024,48
1024,41
1025,14
1026,17
1026,70
1026,9
1026,79
1026,80
1027,70
1027,16
1027,65
1027,50
1028,68
1028,40
1028,76
1029,54
1029,73
1030,64
1031,6
1032,73
1033,70
1033,8
1033,61
1034,22
1034,60
1034,79
1034,80
1035,70
1035,39
1035,74
1035,60
1035,82
1035,38
1036,22
1036,71
1036,74
1036,60
1037,70
1037,23
1038,70
1038,73
1038,45
1039,6
1039,16
1039,23
1039,60
1039,28
1039,44
1039,79
1040,64
1041,64
1041,69
1041,3
1041,52
1042,16
1042,23
1042,5
1042,84
1042,65
1043,16
1043,5
1043,50
1044,26
1044,16
1045,5
1045,45
1045,19
1046,71
1046,82
1046,3
1046,52
1047,26
1047,5
1047,50
1048,22
1048,74
1048,60
1048,28
1048,38
1049,25
1049,28
1049,11
1049,79
1049,59
1050,3
1051,44
1052,22
1052,31
1052,71
1053,5
1053,33
1054,60
1054,51
1054,3
1055,74
1056,70
1057,76
1058,70
1058,16
1058,50
1059,22
1059,83
1059,71
1059,74
1059,60
1059,7
1059,28
1059,34
1059,76
1060,36
1060,3
1061,70
1061,74
1061,3
1062,22
1062,31
1062,71
1062,73
1062,3
1063,70
1063,23
1063,69
1063,3
1064,59
1064,2
1065,79
1065,59
1065,2
1066,70
1066,48
1066,14
1067,10
1068,47
1069,5
1069,10
1070,70
1070,67
1070,19
1071,5
1071,10
1072,59
1072,2
1073,47
1073,48
1074,6
1074,59
1075,31
1075,71
1075,79
1075,80
1075,19
1076,70
1076,5
1077,18
1078,5
1078,79
1078,53
1079,22
1079,70
1079,3
1080,6
1080,13
1080,59
1081,31
1081,70
1081,65
1081,73
1082,28
1082,3
1082,53
1083,16
1083,5
1084,68
1084,65
1084,61
1085,60
1085,28
1085,51
1085,3
1085,59
1086,18
1086,43
1086,53
1087,60
1087,28
1087,3
1087,32
1088,51
1088,3
1088,59
1089,31
1089,70
1089,71
1089,74
1089,73
1090,70
1091,70
1091,80
1092,47
1092,17
1092,70
1092,5
1092,45
1093,68
1094,68
1094,70
1095,70
1095,5
1095,79
1095,19
1096,67
1096,34
1096,42
1097,6
1097,70
1097,16
1097,23
1097,71
1097,79
1098,71
1099,64
1099,54
1099,73
1099,3
1100,70
1100,16
1100,50
1101,64
1101,5
1102,5
1102,33
1102,3
1103,70
1104,5
1104,33
1105,31
1105,70
1105,65
1105,82
1106,17
1106,70
1107,68
1107,40
1107,41
1107,69
1107,76
1108,40
1108,41
1108,76
1109,74
1110,68
1110,44
1110,50
1111,59
1111,2
1112,64
1113,31
1113,70
1113,67
1114,5
1115,6
1115,70
1115,5
1115,79
1116,70
1117,70
1117,7
1117,3
1118,60
1118,3
1119,26
1119,60
1119,10
1120,70
1120,79
1121,17
1121,70
1121,54
1122,70
1123,70
1123,63
1124,70
1124,39
1124,21
1125,70
1125,16
1125,5
1125,74
1125,54
1126,8
1126,61
1127,5
1127,65
1128,6
1128,31
1128,70
1128,13
1128,60
1128,38
1129,79
1129,19
1130,68
1130,76
1131,70
1131,74
1132,47
1132,45
1133,17
1133,5
1133,14
1133,50
1134,48
1134,51
1134,73
1135,64
1135,28
1135,80
1136,70
1136,67
1136,76
1136,3
1137,17
1137,70
1137,16
1137,83
1137,74
1138,5
1138,33
1139,17
1139,84
1139,45
1140,68
1140,17
1140,48
1140,8
1141,70
1141,19
1142,5
1142,79
1142,19
1143,65
1143,50
