이름|이름(eng)|년도|img|점수(bl)|점수(user)|분류|테마|진행방식|bggcode|최소인원|최대인원|시간|최소시간|최대시간|연령|난이도
닥 2: 북아프리카 캠페인, 1940-1942|DAK2: The Campaign in North Africa, 1940-1942|2004|wys2/swf_upload/2022/08/18/166076225639780_lg_N_80x80_100_5_.jpg|6.716|9.90|Wargames|Wargame,World War II|Dice Rolling,Hexagon Grid,Simulation|12234|1|2|360|360|360|14|4.371
라이어다이스|Perudo|1987|data/boardgame_strategy/2017/02/27/1488178911-253991.gif|6.714|7.10|Party Games|Children's Game,Movies / TV / Radio theme,Party Game|Betting and Bluffing,Dice Rolling,Player Elimination|45|2|6|30|15|30|8|1.2618
파고다|Pagoda|2014|wys2/swf_upload/2022/04/22/1650557892493266_lg_N_80x80_100_5_.jpg|6.714|7.32|Family Games|Ancient|Hand Management|154003|2|2|45|30|45|8|1.871
레볼루션!|Revolution!|2009|wys2/swf_upload/2022/01/30/1643476338192620_lg_N_80x80_100_5_.jpg|6.711|7.64|Strategy Games|Bluffing,Deduction,Political|Area Majority / Influence,Auction/Bidding,Multiple-Lot Auction,Simultaneous Action Selection|34887|3|4|60|60|60|13|2.0405
핫샷|Hotshots|2017|wys2/swf_upload/2022/09/16/16632681986750_lg_N_80x80_100_5_.jpg|6.714|7.22|Family Games|Dice|Cooperative Game,Dice Rolling,Modular Board,Push Your Luck|218050|1|4|60|60|60|10|2.25
인디고|Indigo|2012|wys2/swf_upload/2022/03/29/164856375829765_lg_N_80x80_100_5_.jpg|6.715|7.50|Abstract Strategy Games|Abstract Strategy|Network and Route Building,Point to Point Movement,Tile Placement|116954|2|4|30|30|30|8|1.4777
라 코사 노스트라|La Cosa Nostra|2014|wys2/swf_upload/2022/04/07/1649262369371446_lg_N_80x80_100_5_.jpg|6.713|7.39|Thematic Games|Bluffing,Card Game,Mafia,Negotiation|Dice Rolling,Hand Management,Take That,Team-Based Game|151771|3|5|90|90|90|16|2.6441
프랭크의 동물원|Frank's Zoo|1999|wys2/swf_upload/2022/03/11/1646957861365664_lg_N_80x80_100_5_.jpg|6.711|7.04|Family Games|Animals,Card Game|Hand Management,Ladder Climbing,Team-Based Game,Trick-taking|340|3|7|60|60|60|10|1.5318
하운디드|Hounded|2016|wys2/swf_upload/2022/01/30/1643476419254296_lg_N_80x80_100_5_.jpg|6.712|7.67|Abstract Strategy Games|Abstract Strategy,Animals|Memory,Modular Board,Movement Points,Point to Point Movement,Variable Player Powers|207919|2|2|25|15|25|13|1.6667
트릭 오브 더 레일스|Trick of the Rails|2011|wys2/swf_upload/2022/01/30/1643476499272527_lg_N_80x80_100_5_.png|6.714|7.74|Strategy Games|Card Game,Trains|Stock Holding,Trick-taking|118497|3|5|20|20|20|10|2.3214
루드비히의 두 성 사이에서|Between Two Castles of Mad King Ludwig|2018|data/boardgame_strategy_reg/2018/11/09/1541755082-364524_N_80x80_100_5_.jpg|6.714|7.75|Family Games|Negotiation,Post-Napoleonic|Highest-Lowest Scoring,Open Drafting,Set Collection,Simultaneous Action Selection,Team-Based Game,Tile Placement|258036|2|7|60|45|60|10|2.2051
라퓨타|Laputa|2012|data/boardgame_strategy/2013/08/01/1375340392-908413_N_80x80_100_5_.jpg|6.713|7.70|Wargames|Aviation / Flight,Print & Play,Science Fiction|Area Majority / Influence,Cooperative Game,Worker Placement|155585|2|4|45|45|45|7|3
